epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
28,137.043,0.86642,0.92201,1.6321,0.01669,0.47414,0.77842,0.73913,0.80695,0.55507,0.72955,0.69565,0.73616,0.54392,1.19575,1.55971,1.33751,0.0389,0,0.0009308,0.0009308,0.0009308
29,141.136,0.837,1.05249,1.51638,0.01477,0.56667,0.90721,0.78261,0.8713,0.57453,0.89401,0.73359,0.79075,0.58096,1.32696,2.05985,1.17737,0.04473,0,0.0008912,0.0008912,0.0008912
30,145.277,0.82303,0.95678,1.34764,0.01386,0.45304,0.70207,0.80435,0.8154,0.53206,0.662,0.76087,0.76858,0.53302,1.23565,1.72398,1.30775,0.04229,0,0.0008516,0.0008516,0.0008516
31,149.615,0.84406,0.86195,1.38145,0.01584,0.58723,0.91095,0.66728,0.8351,0.54864,0.88127,0.64554,0.78144,0.53721,1.28922,1.78664,1.26615,0.0441,0,0.000812,0.000812,0.000812
32,153.858,0.75895,0.76737,1.1764,0.01471,0.48794,0.73163,0.65192,0.78081,0.49264,0.70195,0.63043,0.72658,0.50003,1.26569,1.60211,1.64117,0.04178,0,0.0007724,0.0007724,0.0007724
33,158.11,0.74502,0.81263,1.23097,0.01351,0.47145,0.78936,0.73913,0.78929,0.50836,0.72972,0.69565,0.721,0.52283,1.27187,1.66383,1.39364,0.04274,0,0.0007328,0.0007328,0.0007328
34,162.452,0.74115,0.81947,1.10567,0.01203,0.44345,0.80747,0.76087,0.80375,0.57044,0.77932,0.73913,0.75817,0.56804,1.2051,2.08945,1.07251,0.03908,0,0.0006932,0.0006932,0.0006932
35,166.674,0.76952,0.75606,1.22632,0.01408,0.54518,0.80894,0.82609,0.82823,0.56835,0.7322,0.73913,0.72227,0.53799,1.2623,2.15314,1.01486,0.04092,0,0.0006536,0.0006536,0.0006536
36,170.883,0.81683,0.828,1.23595,0.01478,0.46655,0.86841,0.71732,0.8086,0.55361,0.77891,0.6894,0.72018,0.5305,1.22713,2.19647,1.04808,0.0395,0,0.000614,0.000614,0.000614
37,174.999,0.72145,0.71895,1.0629,0.01338,0.44126,0.81708,0.78261,0.81532,0.54323,0.79397,0.76087,0.76061,0.55458,1.27626,2.22508,0.97774,0.04228,0,0.0005744,0.0005744,0.0005744
38,179.207,0.72731,0.78718,1.13036,0.01383,0.50555,0.8737,0.75204,0.83675,0.57179,0.82326,0.70898,0.76551,0.57579,1.28593,1.87759,1.06596,0.0394,0,0.0005348,0.0005348,0.0005348
39,183.263,0.7674,0.75066,1.09961,0.0137,0.4724,0.78949,0.81542,0.84749,0.58118,0.73502,0.78396,0.77124,0.60212,1.26086,1.80194,1.07046,0.03936,0,0.0004952,0.0004952,0.0004952
40,187.465,0.69426,0.697,1.02157,0.01221,0.37957,0.82791,0.78261,0.84443,0.58296,0.80864,0.735,0.76327,0.6109,1.26691,1.80469,0.9498,0.03969,0,0.0004556,0.0004556,0.0004556
41,197.026,0.84857,0.83934,2.22402,0.02546,0.50538,0.88357,0.80435,0.87424,0.57663,0.81156,0.73913,0.76335,0.59557,1.25562,1.94024,0.88141,0.03955,0,0.000416,0.000416,0.000416
42,201.106,0.7447,0.62209,1.91798,0.02347,0.41014,0.74024,0.80539,0.81831,0.56196,0.71135,0.69648,0.73604,0.53678,1.26481,2.00195,0.92234,0.03902,0,0.0003764,0.0003764,0.0003764
43,205.313,0.64644,0.60904,1.86754,0.01973,0.426,0.7153,0.76087,0.75964,0.51398,0.67306,0.73913,0.69867,0.4818,1.27673,1.87859,1.14067,0.03778,0,0.0003368,0.0003368,0.0003368
44,209.401,0.67035,0.59371,1.81579,0.01954,0.40322,0.75779,0.76087,0.78222,0.52987,0.72906,0.70206,0.69839,0.49011,1.24684,1.93415,1.06137,0.0384,0,0.0002972,0.0002972,0.0002972
45,213.359,0.68572,0.57337,1.7191,0.02016,0.35862,0.73257,0.71739,0.80835,0.56986,0.70933,0.69565,0.7423,0.54052,1.11618,1.92483,1.05612,0.0347,0,0.0002576,0.0002576,0.0002576
46,217.365,0.72391,0.57221,1.69715,0.02181,0.4085,0.77006,0.72817,0.82481,0.60103,0.7625,0.69565,0.76693,0.58051,1.13261,1.9584,0.87427,0.03576,0,0.000218,0.000218,0.000218
47,221.412,0.63183,0.54374,1.64467,0.01846,0.33416,0.86463,0.67391,0.81828,0.58756,0.83674,0.65217,0.75482,0.58632,1.16319,1.93223,0.9832,0.03647,0,0.0001784,0.0001784,0.0001784
48,225.513,0.67805,0.57484,1.6719,0.01854,0.42493,0.89097,0.7107,0.83085,0.58524,0.86392,0.69018,0.76853,0.58538,1.23795,1.94912,1.05806,0.039,0,0.0001388,0.0001388,0.0001388
49,229.527,0.7161,0.59931,1.66278,0.02175,0.49889,0.92036,0.75383,0.83359,0.58399,0.89385,0.73237,0.77722,0.58882,1.28271,1.94039,1.00581,0.04109,0,9.92e-05,9.92e-05,9.92e-05
50,233.573,0.69307,0.62799,1.65873,0.02053,0.49696,0.87318,0.74854,0.82626,0.58441,0.84798,0.72769,0.77548,0.58491,1.24037,1.77983,1.02228,0.03985,0,5.96e-05,5.96e-05,5.96e-05
